time,open,high,low,close,volume
2025-08-15,13.1,13.1,13.1,13.1,100
2025-08-18,15.0,15.0,12.0,12.0,95100
2025-08-19,13.0,13.0,12.0,12.0,2000
2025-08-20,12.2,13.7,12.2,12.3,1700
2025-08-21,12.3,14.0,11.3,11.5,10100
2025-08-22,13.9,13.9,11.4,11.4,2300
2025-08-25,11.4,13.2,11.0,11.0,16200
2025-08-26,11.4,12.4,11.4,11.4,6400
2025-08-27,11.0,12.4,11.0,12.0,2800
2025-08-28,11.0,11.9,11.0,11.9,2200
2025-08-29,11.1,11.9,11.0,11.0,2900
2025-09-03,11.0,11.0,11.0,11.0,2700
2025-09-05,11.0,11.3,11.0,11.3,3500
2025-09-08,11.0,11.0,11.0,11.0,200
2025-09-09,11.0,11.0,11.0,11.0,2000
2025-09-10,11.0,11.0,11.0,11.0,1000
2025-09-16,12.6,12.6,10.9,10.9,1100
2025-09-18,10.5,10.5,10.5,10.5,55100
2025-09-23,10.5,10.5,10.5,10.5,100
2025-09-25,11.0,11.0,11.0,11.0,1000
2025-09-29,9.5,11.0,9.4,11.0,3100
2025-09-30,11.0,11.0,11.0,11.0,200
2025-10-01,10.0,11.0,10.0,11.0,10100
2025-10-02,11.0,11.0,11.0,11.0,400
2025-10-06,11.0,11.0,11.0,11.0,1000
2025-10-08,9.6,12.6,9.4,11.0,900
2025-10-21,10.8,10.8,10.8,10.8,400
2025-10-22,10.8,12.4,10.8,12.4,500
2025-10-23,12.5,12.7,11.1,11.1,4300
2025-10-24,12.7,13.1,10.5,10.5,1300
2025-10-29,9.5,12.7,9.5,11.1,2100
2025-11-03,12.0,12.0,12.0,12.0,100
2025-11-05,11.0,13.5,11.0,13.5,28400
2025-11-07,11.0,11.0,11.0,11.0,200
2025-11-10,11.0,12.6,11.0,12.6,1300
2025-11-11,11.0,12.6,11.0,12.6,800
2025-11-12,11.0,13.0,11.0,13.0,200
